"filename", "language", "JavaScript", "Markdown", "JSON", "JSON with Comments", "HTML", "XML", "JavaScript JSX", "CSS", "comment", "blank", "total"
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\pages\Logout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 0, 5, 18
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\pages\NotFound.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 0, 3, 24
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\pages\OrdersPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 146, 0, 3, 8, 157
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\pages\PostDetail.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 108, 0, 0, 11, 119
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\pages\PostsBySpecie.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 177, 0, 8, 13, 198
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\pages\PostsPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 9
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\pages\PrivacityPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 57, 0, 0, 3, 60
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\pages\Profile.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 302, 0, 28, 27, 357
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\pages\Register.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 240, 0, 7, 16, 263
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\pages\UsersManagement.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 121, 0, 0, 10, 131
"e:\0 - TFC_Wander_Whiskers-FCT\client\src\theme\theme.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"e:\0 - TFC_Wander_Whiskers-FCT\client\tailwind.config.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 34, 4, 77
"e:\0 - TFC_Wander_Whiskers-FCT\client\vite.config.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 2, 3, 21
"Total", "-", 383, 5, 11191, 12, 13, 10, 6519, 92, 299, 585, 19109
